,Competition Name,URL,State,Date,Type,City,Facility,Street Address,ZIP,Lat,Lon
407,Southern UT Chapter Competition ,https://www.mathcounts.org/southern-ut-chapter-competition,UT,02/14/2020,Chapter,St George,Dixie State University - Kenneth Gardner Student Center,S 900 East,84770,37.1039188,-113.5659582
408,Blue Ridge Chapter Competition ,https://www.mathcounts.org/blue-ridge-chapter-competition,VA,02/01/2020,Chapter,Winchester,Admiral Richard E. Byrd Middle School,134 Rosa Ln.,22602,39.1245574,-78.1493309
409,"NoVA, George Washington, and Fairfax Chapters Competition ",https://www.mathcounts.org/nova-george-washington-and-fairfax-chapters-competition,VA,02/01/2020,Chapter,Fairfax,Johnson Center at George Mason University,4400 University Drive,22030,38.8299705,-77.3075492
410,Peninsula Region Chapter Competition ,https://www.mathcounts.org/peninsula-region-chapter-competition,VA,02/29/2020,Chapter,Hampton,Hampton University Student Center,Marshall Avenue,23668,37.0215287,-76.3345528
411,Richmond Chapter Competition ,https://www.mathcounts.org/richmond-chapter-competition,VA,02/15/2020,Chapter,Richmond,J. Sargeant Reynolds Community College Parham Road Campus,,23228,37.6375208,-77.4730666
412,Skyline Chapter Competition ,https://www.mathcounts.org/skyline-chapter-competition,VA,02/08/2020,Chapter,Weyers Cave,Blue Ridge Community College,,,38.2785817,-78.9384105
413,Southwest VA Chapter Competition ,https://www.mathcounts.org/southwest-va-chapter-competition,VA,02/08/2020,Chapter,Lynchburg,Liberty University,,24502,37.3530446,-79.1769529
414,Tidewater Chapter Competition ,https://www.mathcounts.org/tidewater-chapter-competition,VA,02/22/2020,Chapter,Norfolk,Norfolk State University,"Nursing and General Education Bldg., Room 101",23504,36.8480161,-76.262085
415,St. Thomas-St. John Chapter Competition ,https://www.mathcounts.org/st-thomas-st-john-chapter-competition,VI,02/27/2020,Chapter,St. Thomas,University of the Virgin Islands ACC Building Conference Room,,,,
416,Northeast VT Chapter Competition ,https://www.mathcounts.org/northeast-vt-chapter-competition,VT,02/08/2020,Chapter,Lyndonville,Northern Vermont University - Lyndon,1001 College Rd,05851,44.5355567,-72.025198
417,Northwest VT Chapter Competition ,https://www.mathcounts.org/northwest-vt-chapter-competition,VT,02/08/2020,Chapter,Burlington,Innovation Hall,82 University Place,05405,44.4784713,-73.1975745
418,Southeast VT Chapter Competition ,https://www.mathcounts.org/southeast-vt-chapter-competition-0,VT,02/08/2020,Chapter,Windsor,Windsor High School,19 Ascutney Street,05089,43.47993899999999,-72.394646
419,Southwest VT Chapter Competition ,https://www.mathcounts.org/southwest-vt-chapter-competition,VT,02/01/2020,Chapter,Castleton,Castleton University,48 College Dr,05735,43.6080159,-73.1786951
420,Lake Washington Chapter Competition ,https://www.mathcounts.org/lake-washington-chapter-competition,WA,02/22/2020,Chapter,Redmond,Microsoft Conference Center Building 33,16070 NE 36th Way,98052,47.6427193,-122.1247639
421,Mt. Rainier Chapter Competition ,https://www.mathcounts.org/mt-rainier-chapter-competition,WA,02/22/2020,Chapter,Auburn,Mt. Baker Middle School,620 37 St. SE,98002,47.2742393,-122.2197884
422,North Puget Sound Chapter Competition ,https://www.mathcounts.org/north-puget-sound-chapter-competition,WA,02/22/2020,Chapter,Mt Vernon,Conway Middle School,19710 State Route 534,98274,48.340215,-122.319458
423,Olympia Chapter Competition ,https://www.mathcounts.org/olympia-chapter-competition,WA,02/29/2020,Chapter,Lacey,St. Martin's University,5300 Pacific Avenue,98503,47.0382122,-122.8173481
424,Palouse Empire Chapter Competition ,https://www.mathcounts.org/palouse-empire-chapter-competition,WA,02/22/2020,Chapter,Spokane,Gonzaga University - Hemmingson Center,,,47.667252,-117.3990221
425,Seattle Chapter Competition ,https://www.mathcounts.org/seattle-chapter-competition,WA,02/08/2020,Chapter,Seattle,Amazon Headquarters - specific building TBD,2121 7th Avenue,98103,,
426,Southwest WA Chapter Competition ,https://www.mathcounts.org/southwest-wa-chapter-competition,WA,02/22/2020,Chapter,Vancouver,Clark Collage,,,45.6346231,-122.6507225
427,Spokane Chapter Competition ,https://www.mathcounts.org/spokane-chapter-competition,WA,02/22/2020,Chapter,Spokane,Gonzaga University - Hemmingson Center,,,47.667252,-117.3990221
428,Tri-Cities Mathcounts Competition ,https://www.mathcounts.org/tri-cities-mathcounts-competition,WA,02/01/2020,Chapter,West Richland,Leona Libby Middle School,3259 Belmont Blvd,99353,46.2735245,-119.3732701
429,Wenatchee Chapter Competition ,https://www.mathcounts.org/wenatchee-chapter-competition-0,WA,02/22/2020,Chapter,Wenatchee,Foothills Middle School,1410 Maple St.,98801,47.4431278,-120.3360221
430,Fox River Valley Chapter Competition ,https://www.mathcounts.org/fox-river-valley-chapter-competition,WI,02/01/2020,Chapter,Sheboygan,Acuity,2800 S. Taylor Drive,53081,43.726817,-87.756813
431,Greater Milwaukee Chapter Competition ,https://www.mathcounts.org/greater-milwaukee-chapter-competition,WI,02/01/2020,Chapter,Milwaukee,UW-Milwaukee,,,43.078263,-87.8819686
432,Northwest WI Chapter Competition ,https://www.mathcounts.org/northwest-wi-chapter-competition,WI,01/30/2020,Chapter,Eau Claire,Delong Middle School Auditorium,2000 Vine Street,54703,44.8220183,-91.5354498
433,Southeast WI Chapter Competition ,https://www.mathcounts.org/southeast-wi-chapter-competition,WI,02/01/2020,Chapter,Milwaukee,UW-Milwaukee,,,43.078263,-87.8819686
434,Southwest WI Chapter Competition ,https://www.mathcounts.org/southwest-wi-chapter-competition,WI,02/08/2020,Chapter,Middleton,Kromrey Middle School,7009 Donna Dr,53562,43.1050088,-89.504182
435,Waukesha/Milwaukee Chapter Competition ,https://www.mathcounts.org/waukeshamilwaukee-chapter-competition,WI,02/01/2020,Chapter,Milwaukee,UW-Milwaukee,,,43.078263,-87.8819686
436,Western WI Chapter Competition ,https://www.mathcounts.org/western-wi-chapter-competition,WI,02/07/2020,Chapter,Onalaska,Omni Center,255 Riders Club Rd.,54650,43.9079752,-91.2407932
437,Wisconsin Valley Chapter Competition ,https://www.mathcounts.org/wisconsin-valley-chapter-competition,WI,02/01/2020,Chapter,Wausau,University of Wisconsin Stevens Point at Wausau,518 S 7th Avenue,,44.9582309,-89.6446701
438,Elkins Chapter Competition ,https://www.mathcounts.org/elkins-chapter-competition,WV,02/01/2020,Chapter,Elkins,Jennings Randolph Elementary School,101 Scott Ford Rd.,26241,38.9123699,-79.8606652
439,Morgantown Chapter Competition ,https://www.mathcounts.org/morgantown-chapter-competition,WV,02/08/2020,Chapter,Morgantown,Monongalia County Schools,13 South High Street,26501,39.6229316,-79.94453999999999
440,Southeast WV Chapter Competition ,https://www.mathcounts.org/southeast-chapter-competition-4,WV,02/05/2020,Chapter,Bluefield,Bluefield State College,219 Rock Street,,37.2672311,-81.2374456
441,T. Moore Jackson Chapter Competition ,https://www.mathcounts.org/t-moore-jackson-chapter-competition-0,WV,02/28/2020,Chapter,Clarksburg,Harrison Co. Schools,445 West Main St.,26301,39.2798298,-80.3423303
442,Northeast WY Chapter Competition ,https://www.mathcounts.org/northeast-wy-chapter-competition,WY,02/13/2020,Chapter,Gillette,Gillette College Tech Center,,82718,44.2641225,-105.5075726
443,Northwest Chapter Competition ,https://www.mathcounts.org/northwest-chapter-competition,WY,02/06/2020,Chapter,Powell,Northwest College,231 W 6th St.,82435,44.7592743,-108.7616275
444,Southeast WY Chapter Competition ,https://www.mathcounts.org/southeast-wy-chapter-competition,WY,02/22/2020,Chapter,Cheyenne,"LCCC, Clay Pathfinder Building",1400 E. College Drive,82007,41.1042071,-104.778403
445,Southwest WY Chapter Competition ,https://www.mathcounts.org/southwest-chapter-competition-1,WY,02/14/2020,Chapter,Rock Springs,Western Wyoming Community College,2500 College Dr.,82901,41.5911812,-109.23703
